dátum	verseny	helyezés	pont
1983.05.15	Monaco Grand Prix	3	4
1983.05.22	Belgian Grand Prix	1	9
1983.06.05	Detroit Grand Prix	8	0
1983.06.12	Canadian Grand Prix	5	2
1983.07.16	British Grand Prix	1	9
1983.08.07	German Grand Prix	4	3
1983.08.14	Austrian Grand Prix	1	9
1983.08.28	Dutch Grand Prix	-1	0
1983.09.11	Italian Grand Prix	-1	0
1983.09.25	European Grand Prix	2	6
1983.10.15	South African Grand Prix	-1	0
1982.01.23	South African Grand Prix	1	9
1982.03.21	Brazilian Grand Prix	1	9
1982.04.04	United States Grand Prix West	-1	0
1982.04.25	San Marino Grand Prix	-1	0
1982.05.09	Belgian Grand Prix	-1	0
1982.05.23	Monaco Grand Prix	7	0
1982.06.06	Detroit Grand Prix	-1	0
1982.06.13	Canadian Grand Prix	-1	0
1982.07.03	Dutch Grand Prix	-1	0
1982.07.18	British Grand Prix	6	1
1982.07.25	French Grand Prix	2	6
1982.08.08	German Grand Prix	-1	0
1982.08.15	Austrian Grand Prix	8	0
1982.08.29	Swiss Grand Prix	2	6
1982.09.12	Italian Grand Prix	-1	0
1982.09.25	Caesars Palace Grand Prix	4	3
1981.03.15	United States Grand Prix West	-1	0
1981.03.29	Brazilian Grand Prix	-1	0
1981.04.12	Argentine Grand Prix	3	4
1981.05.03	San Marino Grand Prix	-1	0
1981.05.17	Belgian Grand Prix	-1	0
1981.05.31	Monaco Grand Prix	-1	0
1981.06.21	Spanish Grand Prix	-1	0
1981.07.05	French Grand Prix	1	9
1981.07.18	British Grand Prix	-1	0
1981.08.02	German Grand Prix	2	6
1981.08.16	Austrian Grand Prix	-1	0
1981.08.30	Dutch Grand Prix	1	9
1981.09.13	Italian Grand Prix	1	9
1981.09.27	Canadian Grand Prix	-1	0
1981.10.17	Caesars Palace Grand Prix	2	6
1980.01.13	Argentine Grand Prix	6	1
1980.01.27	Brazilian Grand Prix	5	2
1980.03.01	South African Grand Prix	-1	0
1980.05.04	Belgian Grand Prix	-1	0
1980.05.18	Monaco Grand Prix	-1	0
1980.06.29	French Grand Prix	-1	0
1980.07.13	British Grand Prix	6	1
1980.08.10	German Grand Prix	11	0
1980.08.17	Austrian Grand Prix	7	0
1980.08.31	Dutch Grand Prix	6	1
1980.09.14	Italian Grand Prix	7	0
1980.09.28	Canadian Grand Prix	-1	0
1980.10.05	United States Grand Prix	-1	0
